date|time|description|vendor|amount
2025-10-16|15:07:52.564793|rent payment|renter|234.98
2025-10-16|22:55:41.240944800|WORK|CHECK|234.99
2025-10-17|00:11:04.927741|TARGET|E|54.99
2025-10-17|00:11:25.175209500|WORK|WORK CHECK|-54.78
2025-10-17|10:39:33.790754200|WALMART|SCREWS|2.99
2025-10-17|10:40:14.562367600|BUILDONG c|RENT|-1699.00
2025-10-17|14:29:05.313251600|HOUSING CO|RENT|-78.99
2025-10-17|14:51:26.848544300|BROTHER|ZELLE|78.99
2025-10-17|14:51:46.259633400|HOUSING|RENT|-65.88
2025-10-17|15:52:02.194444400|HOUSING|RENT|45.00
2025-10-17|15:52:25.489551700|FRIE|BILL|-8.00
2025-10-17|08:12:33.128938|utility bill|PowerCo|112.45
2025-10-17|13:45:27.563728900|grocery shopping|FreshMart|89.32
2025-10-18|09:03:44.782193|internet subscription|NetLink|59.99
2025-10-18|19:20:11.000348230|transportation|CityBus|22.50
2025-10-19|10:55:00.445993|monthly subscription|CloudBox|9.99
2025-10-19|16:38:12.229993700|business lunch|Cafe Milano|48.75
2025-10-20|07:22:31.920348|office supplies|Staples|120.00
2025-10-20|18:10:59.329441380|software upgrade|TechSoft|299.99
2025-10-21|11:00:00.111111|consulting fee|BizHelp|450.00
2025-10-21|21:42:37.888888888|equipment rental|ToolWorld|175.25
2023-01-12|09:23:41.120394|office rent|RealtyGroup|1250.00
2023-03-28|13:45:55.239840|website hosting|WebHoster|85.75
2023-06-14|08:15:22.003248|marketing campaign|AdWorks|630.00
2023-08-05|16:40:59.328493|travel reimbursement|Employee A|215.40
2023-10-21|10:12:11.549201|internet bill|FiberNet|64.99
2024-01-09|12:01:33.884320|printer toner|OfficeDepot|145.29
2024-03-15|14:35:00.789234500|software license|SoftWorld|299.99
2024-05-27|17:10:18.209938|subscription renewal|CloudMail|12.99
2024-07-04|11:44:22.993284700|team lunch|DeliTown|198.50
2024-09-19|07:32:00.734211|shipping costs|UPS|35.65
2025-01-25|09:15:49.120394|conference ticket|TechSummit|399.00
2025-03-08|10:55:23.992381|coffee supplies|BrewHouse|78.20
2025-05-16|15:30:40.555512800|freelancer payment|John D.|875.00
2025-08-02|13:10:11.003219|equipment lease|ToolRental Co|450.45
2025-10-20|21:12:07.339182910|cloud storage|SafeDrive|22.99
2025-09-01|09:12:45.203948|software subscription|CodeMaster|49.99
2025-09-03|13:30:22.994832|client refund|Client A|120.00
2025-09-05|08:44:11.382910|hardware purchase|TechHub|860.45
2025-09-08|17:10:33.234000|meal expense|TacoLuxe|23.75
2025-09-10|14:55:29.882349|data backup service|CloudSafe|14.99
2025-09-13|11:02:55.559432|office snacks|SnackWorld|36.80
2025-09-17|19:20:41.039234820|freelancer payment|DesignPro|675.00
2025-09-20|10:17:12.120393|workspace rental|CoWorkZone|310.00
2025-09-24|16:05:59.783200|advertising|AdStream|500.00
2025-09-28|12:47:23.492910390|internet fee|FiberWay|60.00
2025-10-21|12:50:12.140126400|HomeDepot|Fence supplies|-456.98
2023-09-04|09:45:31.223948100|internet bill|NetFast|64.50
2023-09-06|14:30:12.112394002|monthly rent|RealtyGroup|1250.00
2023-09-10|16:01:22.832194302|marketing services|AdStream|520.00
2023-09-13|08:15:45.009438222|cloud storage|CloudBox|22.99
2023-09-16|10:44:55.339221001|monthly rent|RealtyGroup|1250.00
2023-09-18|11:33:27.458291003|freelancer payment|DesignPro|600.00
2023-09-20|13:12:33.283749200|graphic design|DesignPro|400.00
2023-09-22|15:55:59.384738920|software license|CodeMaster|99.00
2023-09-24|18:22:41.120349101|internet bill|NetFast|64.50
2023-09-26|20:05:03.902348100|client gift|SnackWorld|45.75
2023-09-28|07:48:55.123984332|office cleaning|CleanCo|120.00
2023-09-29|10:10:10.101010101|software subscription|CloudBox|22.99
2024-09-03|12:34:22.984321938|advertising campaign|AdStream|700.00
2024-09-07|14:12:05.982134900|monthly rent|RealtyGroup|1250.00
2024-09-11|17:25:19.284738291|email hosting|MailPro|19.99
